t, X(t)
0.0000, 4.0000
0.0063, 4.3678
0.0126, 4.7153
0.0189, 5.0409
0.0252, 5.3430
0.0314, 5.6202
0.0377, 5.8712
0.0440, 6.0948
0.0503, 6.2901
0.0566, 6.4561
0.0629, 6.5923
0.0692, 6.6981
0.0755, 6.7731
0.0818, 6.8171
0.0881, 6.8301
0.0943, 6.8121
0.1006, 6.7636
0.1069, 6.6849
0.1132, 6.5767
0.1195, 6.4398
0.1258, 6.2750
0.1321, 6.0834
0.1384, 5.8663
0.1447, 5.6250
0.1509, 5.3609
0.1572, 5.0756
0.1635, 4.7709
0.1698, 4.4485
0.1761, 4.1102
0.1824, 3.7581
0.1887, 3.3941
0.1950, 3.0204
0.2013, 2.6390
0.2076, 2.2521
0.2138, 1.8618
0.2201, 1.4703
0.2264, 1.0797
0.2327, 0.6923
0.2390, 0.3100
0.2453, -0.0649
0.2516, -0.4306
0.2579, -0.7850
0.2642, -1.1263
0.2704, -1.4528
0.2767, -1.7626
0.2830, -2.0543
0.2893, -2.3264
0.2956, -2.5775
0.3019, -2.8064
0.3082, -3.0121
0.3145, -3.1936
0.3208, -3.3501
0.3271, -3.4810
0.3333, -3.5858
0.3396, -3.6642
0.3459, -3.7161
0.3522, -3.7414
0.3585, -3.7403
0.3648, -3.7130
0.3711, -3.6602
0.3774, -3.5823
0.3837, -3.4802
0.3899, -3.3548
0.3962, -3.2072
0.4025, -3.0384
0.4088, -2.8498
0.4151, -2.6429
0.4214, -2.4192
0.4277, -2.1803
0.4340, -1.9279
0.4403, -1.6638
0.4466, -1.3899
0.4528, -1.1081
0.4591, -0.8203
0.4654, -0.5287
0.4717, -0.2351
0.4780, 0.0584
0.4843, 0.3498
0.4906, 0.6370
0.4969, 0.9180
0.5032, 1.1910
0.5094, 1.4541
0.5157, 1.7053
0.5220, 1.9429
0.5283, 2.1653
0.5346, 2.3708
0.5409, 2.5581
0.5472, 2.7256
0.5535, 2.8722
0.5598, 2.9967
0.5661, 3.0981
0.5723, 3.1756
0.5786, 3.2285
0.5849, 3.2562
0.5912, 3.2583
0.5975, 3.2346
0.6038, 3.1849
0.6101, 3.1093
0.6164, 3.0081
0.6227, 2.8817
0.6289, 2.7305
0.6352, 2.5553
0.6415, 2.3568
0.6478, 2.1362
0.6541, 1.8945
0.6604, 1.6329
0.6667, 1.3529
0.6730, 1.0559
0.6793, 0.7436
0.6856, 0.4176
0.6918, 0.0798
0.6981, -0.2679
0.7044, -0.6237
0.7107, -0.9855
0.7170, -1.3512
0.7233, -1.7187
0.7296, -2.0859
0.7359, -2.4508
0.7422, -2.8111
0.7484, -3.1647
0.7547, -3.5096
0.7610, -3.8437
0.7673, -4.1650
0.7736, -4.4715
0.7799, -4.7614
0.7862, -5.0329
0.7925, -5.2842
0.7988, -5.5137
0.8051, -5.7201
0.8113, -5.9019
0.8176, -6.0578
0.8239, -6.1868
0.8302, -6.2879
0.8365, -6.3603
0.8428, -6.4034
0.8491, -6.4165
0.8554, -6.3995
0.8617, -6.3521
0.8679, -6.2744
0.8742, -6.1663
0.8805, -6.0284
0.8868, -5.8610
0.8931, -5.6648
0.8994, -5.4406
0.9057, -5.1893
0.9120, -4.9121
0.9183, -4.6102
0.9246, -4.2849
0.9308, -3.9378
0.9371, -3.5705
0.9434, -3.1848
0.9497, -2.7824
0.9560, -2.3653
0.9623, -1.9356
0.9686, -1.4952
0.9749, -1.0465
0.9812, -0.5915
0.9874, -0.1325
0.9937, 0.3283
1.0000, 0.7885
1.0063, 1.2460
1.0126, 1.6985
1.0189, 2.1437
1.0252, 2.5795
1.0315, 3.0036
1.0378, 3.4142
1.0441, 3.8090
1.0503, 4.1863
1.0566, 4.5442
1.0629, 4.8810
1.0692, 5.1950
1.0755, 5.4848
1.0818, 5.7490
1.0881, 5.9865
1.0944, 6.1960
1.1007, 6.3768
1.1069, 6.5280
1.1132, 6.6490
1.1195, 6.7395
1.1258, 6.7990
1.1321, 6.8274
1.1384, 6.8249
1.1447, 6.7917
1.1510, 6.7280
1.1573, 6.6345
1.1636, 6.5118
1.1698, 6.3608
1.1761, 6.1825
1.1824, 5.9780
1.1887, 5.7486
1.1950, 5.4957
1.2013, 5.2208
1.2076, 4.9256
1.2139, 4.6118
1.2202, 4.2812
1.2264, 3.9358
1.2327, 3.5775
1.2390, 3.2084
1.2453, 2.8305
1.2516, 2.4461
1.2579, 2.0572
1.2642, 1.6660
1.2705, 1.2747
1.2768, 0.8855
1.2831, 0.5004
1.2893, 0.1215
1.2956, -0.2490
1.3019, -0.6093
1.3082, -0.9574
1.3145, -1.2915
1.3208, -1.6099
1.3271, -1.9108
1.3334, -2.1929
1.3397, -2.4547
1.3459, -2.6948
1.3522, -2.9122
1.3585, -3.1059
1.3648, -3.2750
1.3711, -3.4188
1.3774, -3.5367
1.3837, -3.6283
1.3900, -3.6935
1.3963, -3.7321
1.4026, -3.7441
1.4088, -3.7299
1.4151, -3.6898
1.4214, -3.6243
1.4277, -3.5343
1.4340, -3.4204
1.4403, -3.2837
1.4466, -3.1253
1.4529, -2.9465
1.4592, -2.7486
1.4654, -2.5331
1.4717, -2.3015
1.4780, -2.0557
1.4843, -1.7972
1.4906, -1.5280
1.4969, -1.2499
1.5032, -0.9648
1.5095, -0.6749
1.5158, -0.3820
1.5221, -0.0882
1.5283, 0.2045
1.5346, 0.4940
1.5409, 0.7784
1.5472, 1.0557
1.5535, 1.3239
1.5598, 1.5813
1.5661, 1.8259
1.5724, 2.0561
1.5787, 2.2703
1.5849, 2.4668
1.5912, 2.6444
1.5975, 2.8016
1.6038, 2.9373
1.6101, 3.0504
1.6164, 3.1399
1.6227, 3.2052
1.6290, 3.2456
1.6353, 3.2605
1.6416, 3.2497
1.6478, 3.2130
1.6541, 3.1503
1.6604, 3.0619
1.6667, 2.9480
1.6730, 2.8091
1.6793, 2.6458
1.6856, 2.4589
1.6919, 2.2492
1.6982, 2.0179
1.7044, 1.7661
1.7107, 1.4951
1.7170, 1.2064
1.7233, 0.9015
1.7296, 0.5822
1.7359, 0.2501
1.7422, -0.0929
1.7485, -0.4450
1.7548, -0.8040
1.7611, -1.1679
1.7673, -1.5348
1.7736, -1.9025
1.7799, -2.2688
1.7862, -2.6316
1.7925, -2.9889
1.7988, -3.3384
1.8051, -3.6782
1.8114, -4.0061
1.8177, -4.3202
1.8239, -4.6187
1.8302, -4.8996
1.8365, -5.1611
1.8428, -5.4018
1.8491, -5.6199
1.8554, -5.8141
1.8617, -5.9831
1.8680, -6.1257
1.8743, -6.2409
1.8806, -6.3277
1.8868, -6.3855
1.8931, -6.4137
1.8994, -6.4118
1.9057, -6.3796
1.9120, -6.3170
1.9183, -6.2241
1.9246, -6.1011
1.9309, -5.9483
1.9372, -5.7664
1.9434, -5.5561
1.9497, -5.3183
1.9560, -5.0539
1.9623, -4.7642
1.9686, -4.4504
1.9749, -4.1140
1.9812, -3.7566
1.9875, -3.3798
1.9938, -2.9855
2.0001, -2.5756
2.0063, -2.1519
2.0126, -1.7166
2.0189, -1.2718
2.0252, -0.8196
2.0315, -0.3623
2.0378, 0.0978
