t, X(t)
0.0000, 6.5000
0.0063, 6.5679
0.0126, 6.6334
0.0189, 6.6963
0.0252, 6.7567
0.0314, 6.8145
0.0377, 6.8698
0.0440, 6.9226
0.0503, 6.9728
0.0566, 7.0205
0.0629, 7.0656
0.0692, 7.1082
0.0755, 7.1483
0.0818, 7.1859
0.0881, 7.2209
0.0943, 7.2534
0.1006, 7.2835
0.1069, 7.3111
0.1132, 7.3362
0.1195, 7.3589
0.1258, 7.3792
0.1321, 7.3971
0.1384, 7.4126
0.1447, 7.4258
0.1509, 7.4367
0.1572, 7.4453
0.1635, 7.4517
0.1698, 7.4559
0.1761, 7.4578
0.1824, 7.4577
0.1887, 7.4554
0.1950, 7.4511
0.2013, 7.4447
0.2076, 7.4364
0.2138, 7.4261
0.2201, 7.4139
0.2264, 7.3999
0.2327, 7.3841
0.2390, 7.3665
0.2453, 7.3472
0.2516, 7.3262
0.2579, 7.3037
0.2642, 7.2795
0.2704, 7.2539
0.2767, 7.2268
0.2830, 7.1983
0.2893, 7.1684
0.2956, 7.1372
0.3019, 7.1048
0.3082, 7.0712
0.3145, 7.0365
0.3208, 7.0007
0.3271, 6.9639
0.3333, 6.9261
0.3396, 6.8874
0.3459, 6.8478
0.3522, 6.8074
0.3585, 6.7663
0.3648, 6.7245
0.3711, 6.6821
0.3774, 6.6391
0.3837, 6.5955
0.3899, 6.5515
0.3962, 6.5071
0.4025, 6.4623
0.4088, 6.4172
0.4151, 6.3719
0.4214, 6.3263
0.4277, 6.2806
0.4340, 6.2348
0.4403, 6.1890
0.4466, 6.1431
0.4528, 6.0973
0.4591, 6.0515
0.4654, 6.0059
0.4717, 5.9605
0.4780, 5.9153
0.4843, 5.8704
0.4906, 5.8258
0.4969, 5.7815
0.5032, 5.7376
0.5094, 5.6941
0.5157, 5.6511
0.5220, 5.6086
0.5283, 5.5666
0.5346, 5.5252
0.5409, 5.4844
0.5472, 5.4442
0.5535, 5.4046
0.5598, 5.3658
0.5661, 5.3276
0.5723, 5.2901
0.5786, 5.2534
0.5849, 5.2174
0.5912, 5.1822
0.5975, 5.1479
0.6038, 5.1143
0.6101, 5.0816
0.6164, 5.0496
0.6227, 5.0186
0.6289, 4.9884
0.6352, 4.9590
0.6415, 4.9305
0.6478, 4.9029
0.6541, 4.8761
0.6604, 4.8503
0.6667, 4.8252
0.6730, 4.8011
0.6793, 4.7778
0.6856, 4.7553
0.6918, 4.7337
0.6981, 4.7129
0.7044, 4.6929
0.7107, 4.6737
0.7170, 4.6553
0.7233, 4.6376
0.7296, 4.6208
0.7359, 4.6046
0.7422, 4.5891
0.7484, 4.5744
0.7547, 4.5603
0.7610, 4.5468
0.7673, 4.5339
0.7736, 4.5216
0.7799, 4.5099
0.7862, 4.4986
0.7925, 4.4879
0.7988, 4.4776
0.8051, 4.4677
0.8113, 4.4581
0.8176, 4.4490
0.8239, 4.4401
0.8302, 4.4315
0.8365, 4.4231
0.8428, 4.4149
0.8491, 4.4068
0.8554, 4.3988
0.8617, 4.3909
0.8679, 4.3830
0.8742, 4.3750
0.8805, 4.3670
0.8868, 4.3589
0.8931, 4.3506
0.8994, 4.3420
0.9057, 4.3332
0.9120, 4.3241
0.9183, 4.3146
0.9246, 4.3048
0.9308, 4.2944
0.9371, 4.2836
0.9434, 4.2722
0.9497, 4.2603
0.9560, 4.2476
0.9623, 4.2343
0.9686, 4.2203
0.9749, 4.2055
0.9812, 4.1898
0.9874, 4.1733
0.9937, 4.1558
1.0000, 4.1374
1.0063, 4.1180
1.0126, 4.0975
1.0189, 4.0759
1.0252, 4.0532
1.0315, 4.0293
1.0378, 4.0042
1.0441, 3.9778
1.0503, 3.9501
1.0566, 3.9211
1.0629, 3.8907
1.0692, 3.8589
1.0755, 3.8256
1.0818, 3.7909
1.0881, 3.7546
1.0944, 3.7168
1.1007, 3.6775
1.1069, 3.6365
1.1132, 3.5939
1.1195, 3.5497
1.1258, 3.5038
1.1321, 3.4562
1.1384, 3.4069
1.1447, 3.3558
1.1510, 3.3030
1.1573, 3.2485
1.1636, 3.1921
1.1698, 3.1339
1.1761, 3.0740
1.1824, 3.0122
1.1887, 2.9486
1.1950, 2.8832
1.2013, 2.8159
1.2076, 2.7468
1.2139, 2.6759
1.2202, 2.6031
1.2264, 2.5285
1.2327, 2.4521
1.2390, 2.3739
1.2453, 2.2939
1.2516, 2.2121
1.2579, 2.1285
1.2642, 2.0431
1.2705, 1.9560
1.2768, 1.8671
1.2831, 1.7766
1.2893, 1.6843
1.2956, 1.5904
1.3019, 1.4949
1.3082, 1.3977
1.3145, 1.2990
1.3208, 1.1987
1.3271, 1.0970
1.3334, 0.9937
1.3397, 0.8890
1.3459, 0.7829
1.3522, 0.6754
1.3585, 0.5666
1.3648, 0.4566
1.3711, 0.3453
1.3774, 0.2328
1.3837, 0.1192
1.3900, 0.0045
1.3963, -0.1113
1.4026, -0.2280
1.4088, -0.3457
1.4151, -0.4642
1.4214, -0.5836
1.4277, -0.7037
1.4340, -0.8245
1.4403, -0.9459
1.4466, -1.0680
1.4529, -1.1905
1.4592, -1.3136
1.4654, -1.4370
1.4717, -1.5607
1.4780, -1.6847
1.4843, -1.8089
1.4906, -1.9332
1.4969, -2.0576
1.5032, -2.1820
1.5095, -2.3063
1.5158, -2.4305
1.5221, -2.5544
1.5283, -2.6781
1.5346, -2.8014
1.5409, -2.9243
1.5472, -3.0467
1.5535, -3.1685
1.5598, -3.2897
1.5661, -3.4101
1.5724, -3.5298
1.5787, -3.6487
1.5849, -3.7666
1.5912, -3.8836
1.5975, -3.9995
1.6038, -4.1142
1.6101, -4.2278
1.6164, -4.3401
1.6227, -4.4511
1.6290, -4.5606
1.6353, -4.6688
1.6416, -4.7753
1.6478, -4.8803
1.6541, -4.9836
1.6604, -5.0852
1.6667, -5.1850
1.6730, -5.2830
1.6793, -5.3791
1.6856, -5.4732
1.6919, -5.5653
1.6982, -5.6553
1.7044, -5.7432
1.7107, -5.8289
1.7170, -5.9123
1.7233, -5.9935
1.7296, -6.0723
1.7359, -6.1488
1.7422, -6.2228
1.7485, -6.2944
1.7548, -6.3634
1.7611, -6.4299
1.7673, -6.4938
1.7736, -6.5551
1.7799, -6.6137
1.7862, -6.6696
1.7925, -6.7228
1.7988, -6.7732
1.8051, -6.8208
1.8114, -6.8656
1.8177, -6.9076
1.8239, -6.9468
1.8302, -6.9830
1.8365, -7.0164
1.8428, -7.0468
1.8491, -7.0743
1.8554, -7.0989
1.8617, -7.1206
1.8680, -7.1393
1.8743, -7.1550
1.8806, -7.1678
1.8868, -7.1776
1.8931, -7.1845
1.8994, -7.1884
1.9057, -7.1894
1.9120, -7.1875
1.9183, -7.1826
1.9246, -7.1748
1.9309, -7.1641
1.9372, -7.1505
1.9434, -7.1341
1.9497, -7.1148
1.9560, -7.0927
1.9623, -7.0678
1.9686, -7.0402
1.9749, -7.0098
1.9812, -6.9767
1.9875, -6.9409
1.9938, -6.9025
2.0001, -6.8615
2.0063, -6.8179
2.0126, -6.7718
2.0189, -6.7232
2.0252, -6.6722
2.0315, -6.6188
2.0378, -6.5630
2.0441, -6.5049
2.0504, -6.4446
2.0567, -6.3821
2.0629, -6.3175
2.0692, -6.2508
2.0755, -6.1820
2.0818, -6.1113
2.0881, -6.0386
2.0944, -5.9641
2.1007, -5.8878
2.1070, -5.8098
2.1133, -5.7301
2.1196, -5.6488
2.1258, -5.5659
2.1321, -5.4816
2.1384, -5.3959
2.1447, -5.3088
2.1510, -5.2205
2.1573, -5.1309
2.1636, -5.0403
2.1699, -4.9485
2.1762, -4.8558
2.1824, -4.7621
2.1887, -4.6676
2.1950, -4.5724
2.2013, -4.4764
2.2076, -4.3797
2.2139, -4.2826
2.2202, -4.1849
2.2265, -4.0868
2.2328, -3.9883
2.2391, -3.8896
2.2453, -3.7906
2.2516, -3.6915
2.2579, -3.5924
2.2642, -3.4932
2.2705, -3.3942
2.2768, -3.2952
2.2831, -3.1965
2.2894, -3.0980
2.2957, -2.9999
2.3019, -2.9022
2.3082, -2.8050
2.3145, -2.7083
2.3208, -2.6122
2.3271, -2.5168
2.3334, -2.4221
2.3397, -2.3282
2.3460, -2.2351
2.3523, -2.1429
2.3586, -2.0517
2.3648, -1.9615
2.3711, -1.8723
2.3774, -1.7843
2.3837, -1.6974
2.3900, -1.6118
2.3963, -1.5274
2.4026, -1.4443
2.4089, -1.3625
2.4152, -1.2822
2.4214, -1.2033
2.4277, -1.1258
2.4340, -1.0499
2.4403, -0.9755
2.4466, -0.9027
2.4529, -0.8315
2.4592, -0.7620
2.4655, -0.6941
2.4718, -0.6279
2.4781, -0.5634
2.4843, -0.5007
2.4906, -0.4398
2.4969, -0.3806
2.5032, -0.3232
2.5095, -0.2676
2.5158, -0.2139
2.5221, -0.1619
2.5284, -0.1119
2.5347, -0.0636
2.5409, -0.0172
2.5472, 0.0273
2.5535, 0.0700
2.5598, 0.1108
