t, X(t)
0.0000, 1.5000
0.0063, 1.5000
0.0126, 1.4999
0.0189, 1.4998
0.0252, 1.4997
0.0314, 1.4995
0.0377, 1.4993
0.0440, 1.4990
0.0503, 1.4987
0.0566, 1.4984
0.0629, 1.4980
0.0692, 1.4976
0.0755, 1.4972
0.0818, 1.4967
0.0881, 1.4961
0.0943, 1.4956
0.1006, 1.4949
0.1069, 1.4943
0.1132, 1.4936
0.1195, 1.4929
0.1258, 1.4921
0.1321, 1.4913
0.1384, 1.4904
0.1447, 1.4896
0.1509, 1.4886
0.1572, 1.4877
0.1635, 1.4867
0.1698, 1.4856
0.1761, 1.4845
0.1824, 1.4834
0.1887, 1.4823
0.1950, 1.4811
0.2013, 1.4798
0.2076, 1.4785
0.2138, 1.4772
0.2201, 1.4759
0.2264, 1.4745
0.2327, 1.4730
0.2390, 1.4716
0.2453, 1.4701
0.2516, 1.4685
0.2579, 1.4669
0.2642, 1.4653
0.2704, 1.4637
0.2767, 1.4620
0.2830, 1.4602
0.2893, 1.4584
0.2956, 1.4566
0.3019, 1.4548
0.3082, 1.4529
0.3145, 1.4510
0.3208, 1.4490
0.3271, 1.4470
0.3333, 1.4450
0.3396, 1.4429
0.3459, 1.4408
0.3522, 1.4386
0.3585, 1.4364
0.3648, 1.4342
0.3711, 1.4319
0.3774, 1.4296
0.3837, 1.4273
0.3899, 1.4249
0.3962, 1.4225
0.4025, 1.4201
0.4088, 1.4176
0.4151, 1.4151
0.4214, 1.4125
0.4277, 1.4099
0.4340, 1.4073
0.4403, 1.4046
0.4466, 1.4019
0.4528, 1.3992
0.4591, 1.3964
0.4654, 1.3936
0.4717, 1.3908
0.4780, 1.3879
0.4843, 1.3850
0.4906, 1.3821
0.4969, 1.3791
0.5032, 1.3761
0.5094, 1.3730
0.5157, 1.3699
0.5220, 1.3668
0.5283, 1.3637
0.5346, 1.3605
0.5409, 1.3572
0.5472, 1.3540
0.5535, 1.3507
0.5598, 1.3474
0.5661, 1.3440
0.5723, 1.3406
0.5786, 1.3372
0.5849, 1.3338
0.5912, 1.3303
0.5975, 1.3267
0.6038, 1.3232
0.6101, 1.3196
0.6164, 1.3160
0.6227, 1.3123
0.6289, 1.3086
0.6352, 1.3049
0.6415, 1.3012
0.6478, 1.2974
0.6541, 1.2936
0.6604, 1.2898
0.6667, 1.2859
0.6730, 1.2820
0.6793, 1.2780
0.6856, 1.2741
0.6918, 1.2701
0.6981, 1.2660
0.7044, 1.2620
0.7107, 1.2579
0.7170, 1.2538
0.7233, 1.2496
0.7296, 1.2455
0.7359, 1.2412
0.7422, 1.2370
0.7484, 1.2327
0.7547, 1.2285
0.7610, 1.2241
0.7673, 1.2198
0.7736, 1.2154
0.7799, 1.2110
0.7862, 1.2066
0.7925, 1.2021
0.7988, 1.1976
0.8051, 1.1931
0.8113, 1.1885
0.8176, 1.1840
0.8239, 1.1793
0.8302, 1.1747
0.8365, 1.1701
0.8428, 1.1654
0.8491, 1.1607
0.8554, 1.1559
0.8617, 1.1512
0.8679, 1.1464
0.8742, 1.1416
0.8805, 1.1367
0.8868, 1.1319
0.8931, 1.1270
0.8994, 1.1221
0.9057, 1.1171
0.9120, 1.1122
0.9183, 1.1072
0.9246, 1.1022
0.9308, 1.0972
0.9371, 1.0921
0.9434, 1.0870
0.9497, 1.0819
0.9560, 1.0768
0.9623, 1.0716
0.9686, 1.0665
0.9749, 1.0613
0.9812, 1.0561
0.9874, 1.0508
0.9937, 1.0456
1.0000, 1.0403
1.0063, 1.0350
1.0126, 1.0297
1.0189, 1.0243
1.0252, 1.0189
1.0315, 1.0136
1.0378, 1.0081
1.0441, 1.0027
1.0503, 0.9973
1.0566, 0.9918
1.0629, 0.9863
1.0692, 0.9808
1.0755, 0.9753
1.0818, 0.9697
1.0881, 0.9642
1.0944, 0.9586
1.1007, 0.9530
1.1069, 0.9474
1.1132, 0.9418
1.1195, 0.9361
1.1258, 0.9304
1.1321, 0.9248
1.1384, 0.9191
1.1447, 0.9133
1.1510, 0.9076
1.1573, 0.9018
1.1636, 0.8961
1.1698, 0.8903
1.1761, 0.8845
1.1824, 0.8787
1.1887, 0.8729
1.1950, 0.8670
1.2013, 0.8612
1.2076, 0.8553
1.2139, 0.8494
1.2202, 0.8435
1.2264, 0.8376
1.2327, 0.8317
1.2390, 0.8257
1.2453, 0.8198
1.2516, 0.8138
1.2579, 0.8078
1.2642, 0.8018
1.2705, 0.7958
1.2768, 0.7898
1.2831, 0.7838
1.2893, 0.7778
1.2956, 0.7717
1.3019, 0.7656
1.3082, 0.7596
1.3145, 0.7535
1.3208, 0.7474
1.3271, 0.7413
1.3334, 0.7352
1.3397, 0.7291
1.3459, 0.7230
1.3522, 0.7168
1.3585, 0.7107
1.3648, 0.7045
1.3711, 0.6984
1.3774, 0.6922
1.3837, 0.6860
1.3900, 0.6798
1.3963, 0.6736
1.4026, 0.6675
1.4088, 0.6612
1.4151, 0.6550
1.4214, 0.6488
1.4277, 0.6426
1.4340, 0.6364
1.4403, 0.6301
1.4466, 0.6239
1.4529, 0.6177
1.4592, 0.6114
1.4654, 0.6052
1.4717, 0.5989
1.4780, 0.5926
1.4843, 0.5864
1.4906, 0.5801
1.4969, 0.5738
1.5032, 0.5676
1.5095, 0.5613
1.5158, 0.5550
1.5221, 0.5487
1.5283, 0.5424
1.5346, 0.5362
1.5409, 0.5299
1.5472, 0.5236
1.5535, 0.5173
1.5598, 0.5110
1.5661, 0.5047
1.5724, 0.4984
1.5787, 0.4921
1.5849, 0.4858
1.5912, 0.4796
1.5975, 0.4733
1.6038, 0.4670
1.6101, 0.4607
1.6164, 0.4544
1.6227, 0.4481
1.6290, 0.4419
1.6353, 0.4356
1.6416, 0.4293
1.6478, 0.4230
1.6541, 0.4168
1.6604, 0.4105
1.6667, 0.4042
1.6730, 0.3980
1.6793, 0.3917
1.6856, 0.3855
1.6919, 0.3792
1.6982, 0.3730
1.7044, 0.3667
1.7107, 0.3605
1.7170, 0.3543
1.7233, 0.3481
1.7296, 0.3419
1.7359, 0.3357
1.7422, 0.3294
1.7485, 0.3233
1.7548, 0.3171
1.7611, 0.3109
1.7673, 0.3047
1.7736, 0.2986
1.7799, 0.2924
1.7862, 0.2862
1.7925, 0.2801
1.7988, 0.2740
1.8051, 0.2679
1.8114, 0.2617
1.8177, 0.2556
1.8239, 0.2495
1.8302, 0.2435
1.8365, 0.2374
1.8428, 0.2313
1.8491, 0.2253
1.8554, 0.2192
1.8617, 0.2132
1.8680, 0.2072
1.8743, 0.2012
1.8806, 0.1952
1.8868, 0.1892
1.8931, 0.1832
1.8994, 0.1773
1.9057, 0.1713
1.9120, 0.1654
1.9183, 0.1595
1.9246, 0.1536
1.9309, 0.1477
1.9372, 0.1418
1.9434, 0.1359
1.9497, 0.1301
1.9560, 0.1242
1.9623, 0.1184
1.9686, 0.1126
1.9749, 0.1068
1.9812, 0.1010
1.9875, 0.0953
1.9938, 0.0895
2.0001, 0.0838
2.0063, 0.0781
2.0126, 0.0724
2.0189, 0.0667
2.0252, 0.0611
2.0315, 0.0554
2.0378, 0.0498
2.0441, 0.0442
2.0504, 0.0386
2.0567, 0.0330
2.0629, 0.0275
2.0692, 0.0219
2.0755, 0.0164
2.0818, 0.0109
2.0881, 0.0055
2.0944, 0.0000
2.1007, -0.0054
2.1070, -0.0109
2.1133, -0.0163
2.1196, -0.0216
2.1258, -0.0270
2.1321, -0.0323
2.1384, -0.0376
2.1447, -0.0429
2.1510, -0.0482
2.1573, -0.0534
2.1636, -0.0587
2.1699, -0.0639
2.1762, -0.0691
2.1824, -0.0742
2.1887, -0.0794
2.1950, -0.0845
2.2013, -0.0896
2.2076, -0.0946
2.2139, -0.0997
2.2202, -0.1047
2.2265, -0.1097
2.2328, -0.1147
2.2391, -0.1196
2.2453, -0.1245
2.2516, -0.1294
2.2579, -0.1343
2.2642, -0.1392
2.2705, -0.1440
2.2768, -0.1488
2.2831, -0.1536
2.2894, -0.1583
2.2957, -0.1630
2.3019, -0.1677
2.3082, -0.1724
2.3145, -0.1770
2.3208, -0.1817
2.3271, -0.1862
2.3334, -0.1908
2.3397, -0.1953
2.3460, -0.1998
2.3523, -0.2043
2.3586, -0.2088
2.3648, -0.2132
2.3711, -0.2176
2.3774, -0.2220
2.3837, -0.2263
2.3900, -0.2306
2.3963, -0.2349
2.4026, -0.2391
2.4089, -0.2434
2.4152, -0.2475
2.4214, -0.2517
2.4277, -0.2558
2.4340, -0.2599
2.4403, -0.2640
2.4466, -0.2681
2.4529, -0.2721
2.4592, -0.2761
2.4655, -0.2800
2.4718, -0.2839
2.4781, -0.2878
2.4843, -0.2917
2.4906, -0.2955
2.4969, -0.2993
2.5032, -0.3031
2.5095, -0.3068
2.5158, -0.3105
2.5221, -0.3142
2.5284, -0.3178
2.5347, -0.3214
2.5409, -0.3250
2.5472, -0.3285
2.5535, -0.3320
2.5598, -0.3355
2.5661, -0.3389
2.5724, -0.3423
2.5787, -0.3457
2.5850, -0.3490
2.5913, -0.3524
2.5976, -0.3556
2.6038, -0.3589
2.6101, -0.3621
2.6164, -0.3652
2.6227, -0.3684
2.6290, -0.3715
2.6353, -0.3745
2.6416, -0.3776
2.6479, -0.3806
2.6542, -0.3835
2.6604, -0.3865
2.6667, -0.3894
2.6730, -0.3922
2.6793, -0.3950
2.6856, -0.3978
2.6919, -0.4006
2.6982, -0.4033
2.7045, -0.4060
2.7108, -0.4086
2.7171, -0.4112
2.7233, -0.4138
2.7296, -0.4163
2.7359, -0.4188
2.7422, -0.4213
2.7485, -0.4237
2.7548, -0.4261
2.7611, -0.4285
2.7674, -0.4308
2.7737, -0.4331
2.7799, -0.4353
2.7862, -0.4375
2.7925, -0.4397
2.7988, -0.4418
2.8051, -0.4439
2.8114, -0.4460
2.8177, -0.4480
2.8240, -0.4500
2.8303, -0.4519
2.8366, -0.4538
2.8428, -0.4557
2.8491, -0.4575
2.8554, -0.4593
2.8617, -0.4611
2.8680, -0.4628
2.8743, -0.4645
2.8806, -0.4661
2.8869, -0.4677
2.8932, -0.4693
2.8994, -0.4708
2.9057, -0.4723
2.9120, -0.4738
2.9183, -0.4752
2.9246, -0.4766
2.9309, -0.4779
2.9372, -0.4792
2.9435, -0.4804
2.9498, -0.4817
2.9561, -0.4828
2.9623, -0.4840
2.9686, -0.4851
2.9749, -0.4861
2.9812, -0.4872
2.9875, -0.4882
2.9938, -0.4891
3.0001, -0.4900
3.0064, -0.4909
3.0127, -0.4917
3.0189, -0.4925
3.0252, -0.4932
3.0315, -0.4939
3.0378, -0.4946
3.0441, -0.4953
3.0504, -0.4958
3.0567, -0.4964
3.0630, -0.4969
3.0693, -0.4974
3.0756, -0.4978
3.0818, -0.4982
3.0881, -0.4986
3.0944, -0.4989
3.1007, -0.4992
3.1070, -0.4994
3.1133, -0.4996
3.1196, -0.4998
3.1259, -0.4999
3.1322, -0.5000
3.1384, -0.5000
3.1447, -0.5000
3.1510, -0.5000
3.1573, -0.4999
3.1636, -0.4998
3.1699, -0.4996
3.1762, -0.4994
3.1825, -0.4992
3.1888, -0.4989
3.1951, -0.4986
3.2013, -0.4982
3.2076, -0.4978
3.2139, -0.4974
3.2202, -0.4969
3.2265, -0.4964
3.2328, -0.4958
3.2391, -0.4953
3.2454, -0.4946
3.2517, -0.4939
3.2579, -0.4932
3.2642, -0.4925
3.2705, -0.4917
3.2768, -0.4909
3.2831, -0.4900
3.2894, -0.4891
3.2957, -0.4882
3.3020, -0.4872
3.3083, -0.4861
3.3146, -0.4851
3.3208, -0.4840
3.3271, -0.4828
3.3334, -0.4817
3.3397, -0.4804
3.3460, -0.4792
3.3523, -0.4779
3.3586, -0.4766
3.3649, -0.4752
3.3712, -0.4738
3.3774, -0.4723
3.3837, -0.4708
3.3900, -0.4693
3.3963, -0.4677
3.4026, -0.4661
3.4089, -0.4645
3.4152, -0.4628
3.4215, -0.4611
3.4278, -0.4593
3.4341, -0.4575
3.4403, -0.4557
3.4466, -0.4538
3.4529, -0.4519
3.4592, -0.4500
3.4655, -0.4480
3.4718, -0.4460
3.4781, -0.4439
3.4844, -0.4418
3.4907, -0.4397
3.4969, -0.4375
3.5032, -0.4353
3.5095, -0.4331
3.5158, -0.4308
3.5221, -0.4285
3.5284, -0.4261
3.5347, -0.4237
3.5410, -0.4213
3.5473, -0.4188
3.5536, -0.4163
3.5598, -0.4138
3.5661, -0.4112
3.5724, -0.4086
3.5787, -0.4060
3.5850, -0.4033
3.5913, -0.4006
3.5976, -0.3978
3.6039, -0.3950
3.6102, -0.3922
3.6164, -0.3894
3.6227, -0.3865
3.6290, -0.3835
3.6353, -0.3806
3.6416, -0.3776
3.6479, -0.3745
3.6542, -0.3715
3.6605, -0.3684
3.6668, -0.3652
3.6731, -0.3621
3.6793, -0.3589
3.6856, -0.3556
3.6919, -0.3524
3.6982, -0.3490
3.7045, -0.3457
3.7108, -0.3423
3.7171, -0.3389
3.7234, -0.3355
3.7297, -0.3320
3.7359, -0.3285
3.7422, -0.3250
3.7485, -0.3214
3.7548, -0.3178
3.7611, -0.3142
3.7674, -0.3105
3.7737, -0.3068
3.7800, -0.3031
3.7863, -0.2993
3.7926, -0.2955
3.7988, -0.2917
3.8051, -0.2878
3.8114, -0.2839
3.8177, -0.2800
3.8240, -0.2761
3.8303, -0.2721
3.8366, -0.2681
3.8429, -0.2640
3.8492, -0.2599
3.8554, -0.2558
3.8617, -0.2517
3.8680, -0.2475
3.8743, -0.2434
3.8806, -0.2391
3.8869, -0.2349
3.8932, -0.2306
3.8995, -0.2263
3.9058, -0.2220
3.9121, -0.2176
3.9183, -0.2132
3.9246, -0.2088
3.9309, -0.2043
3.9372, -0.1998
3.9435, -0.1953
3.9498, -0.1908
3.9561, -0.1862
3.9624, -0.1817
3.9687, -0.1770
3.9749, -0.1724
3.9812, -0.1677
3.9875, -0.1630
3.9938, -0.1583
4.0001, -0.1536
4.0064, -0.1488
4.0127, -0.1440
4.0190, -0.1392
4.0253, -0.1343
4.0316, -0.1294
4.0378, -0.1245
4.0441, -0.1196
4.0504, -0.1147
4.0567, -0.1097
4.0630, -0.1047
4.0693, -0.0997
4.0756, -0.0946
4.0819, -0.0896
4.0882, -0.0845
