t, X(t)
0.000000, 8.500000
0.006289, 8.550117
0.012579, 8.599830
0.018868, 8.649132
0.025158, 8.698014
0.031447, 8.746469
0.037737, 8.794490
0.044026, 8.842067
0.050316, 8.889195
0.056605, 8.935864
0.062895, 8.982068
0.069184, 9.027798
0.075474, 9.073048
0.081763, 9.117809
0.088053, 9.162074
0.094342, 9.205837
0.100632, 9.249089
0.106921, 9.291823
0.113211, 9.334033
0.119500, 9.375710
0.125789, 9.416848
0.132079, 9.457440
0.138368, 9.497479
0.144658, 9.536957
0.150947, 9.575869
0.157237, 9.614206
0.163526, 9.651963
0.169816, 9.689132
0.176105, 9.725708
0.182395, 9.761682
0.188684, 9.797050
0.194974, 9.831805
0.201263, 9.865939
0.207553, 9.899448
0.213842, 9.932324
0.220132, 9.964562
0.226421, 9.996156
0.232711, 10.027099
0.239000, 10.057385
0.245290, 10.087009
0.251579, 10.115966
0.257868, 10.144248
0.264158, 10.171852
0.270447, 10.198770
0.276737, 10.224998
0.283026, 10.250531
0.289316, 10.275363
0.295605, 10.299489
0.301895, 10.322903
0.308184, 10.345602
0.314474, 10.367579
0.320763, 10.388830
0.327053, 10.409350
0.333342, 10.429135
0.339632, 10.448180
0.345921, 10.466481
0.352211, 10.484033
0.358500, 10.500831
0.364790, 10.516872
0.371079, 10.532151
0.377368, 10.546665
0.383658, 10.560409
0.389947, 10.573380
0.396237, 10.585574
0.402526, 10.596987
0.408816, 10.607616
0.415105, 10.617457
0.421395, 10.626508
0.427684, 10.634763
0.433974, 10.642221
0.440263, 10.648879
0.446553, 10.654733
0.452842, 10.659781
0.459132, 10.664020
0.465421, 10.667447
0.471711, 10.670060
0.478000, 10.671856
0.484290, 10.672833
0.490579, 10.672989
0.496869, 10.672322
0.503158, 10.670829
0.509447, 10.668509
0.515737, 10.665359
0.522026, 10.661379
0.528316, 10.656567
0.534605, 10.650920
0.540895, 10.644438
0.547184, 10.637120
0.553474, 10.628964
0.559763, 10.619970
0.566053, 10.610136
0.572342, 10.599461
0.578632, 10.587945
0.584921, 10.575587
0.591211, 10.562387
0.597500, 10.548344
0.603790, 10.533458
0.610079, 10.517728
0.616369, 10.501156
0.622658, 10.483740
0.628947, 10.465481
0.635237, 10.446380
0.641526, 10.426435
0.647816, 10.405649
0.654105, 10.384022
0.660395, 10.361554
0.666684, 10.338246
0.672974, 10.314099
0.679263, 10.289115
0.685553, 10.263293
0.691842, 10.236637
0.698132, 10.209146
0.704421, 10.180822
0.710711, 10.151668
0.717000, 10.121684
0.723290, 10.090873
0.729579, 10.059236
0.735869, 10.026776
0.742158, 9.993494
0.748447, 9.959394
0.754737, 9.924476
0.761026, 9.888744
0.767316, 9.852201
0.773605, 9.814848
0.779895, 9.776689
0.786184, 9.737727
0.792474, 9.697964
0.798763, 9.657404
0.805053, 9.616050
0.811342, 9.573905
0.817632, 9.530973
0.823921, 9.487258
0.830211, 9.442762
0.836500, 9.397490
0.842790, 9.351445
0.849079, 9.304632
0.855369, 9.257055
0.861658, 9.208717
0.867948, 9.159623
0.874237, 9.109777
0.880526, 9.059184
0.886816, 9.007848
0.893105, 8.955774
0.899395, 8.902967
0.905684, 8.849432
0.911974, 8.795173
0.918263, 8.740196
0.924553, 8.684505
0.930842, 8.628106
0.937132, 8.571005
0.943421, 8.513207
0.949711, 8.454716
0.956000, 8.395540
0.962290, 8.335683
0.968579, 8.275152
0.974869, 8.213952
0.981158, 8.152089
0.987448, 8.089570
0.993737, 8.026401
1.000026, 7.962587
1.006316, 7.898135
1.012605, 7.833052
1.018895, 7.767343
1.025184, 7.701017
1.031474, 7.634079
1.037763, 7.566536
1.044053, 7.498394
1.050342, 7.429662
1.056632, 7.360345
1.062921, 7.290452
1.069211, 7.219988
1.075500, 7.148962
1.081790, 7.077380
1.088079, 7.005251
1.094369, 6.932580
1.100658, 6.859377
1.106948, 6.785648
1.113237, 6.711402
1.119527, 6.636645
1.125816, 6.561386
1.132105, 6.485633
1.138395, 6.409393
1.144684, 6.332675
1.150974, 6.255487
1.157263, 6.177836
1.163553, 6.099732
1.169842, 6.021181
1.176132, 5.942193
1.182421, 5.862776
1.188711, 5.782938
1.195000, 5.702688
1.201290, 5.622035
1.207579, 5.540986
1.213869, 5.459551
1.220158, 5.377738
1.226448, 5.295556
1.232737, 5.213014
1.239027, 5.130121
1.245316, 5.046885
1.251605, 4.963316
1.257895, 4.879422
1.264184, 4.795212
1.270474, 4.710696
1.276763, 4.625883
1.283053, 4.540781
1.289342, 4.455401
1.295632, 4.369750
1.301921, 4.283839
1.308211, 4.197676
1.314500, 4.111272
1.320790, 4.024635
1.327079, 3.937774
1.333369, 3.850700
1.339658, 3.763421
1.345948, 3.675947
1.352237, 3.588288
1.358527, 3.500452
1.364816, 3.412450
1.371106, 3.324291
1.377395, 3.235985
1.383684, 3.147541
1.389974, 3.058968
1.396263, 2.970277
1.402553, 2.881477
1.408842, 2.792578
1.415132, 2.703588
1.421421, 2.614519
1.427711, 2.525380
1.434000, 2.436179
1.440290, 2.346928
1.446579, 2.257635
1.452869, 2.168311
1.459158, 2.078965
1.465448, 1.989606
1.471737, 1.900245
1.478027, 1.810891
1.484316, 1.721553
1.490606, 1.632243
1.496895, 1.542968
1.503184, 1.453739
1.509474, 1.364565
1.515763, 1.275457
1.522053, 1.186423
1.528342, 1.097473
1.534632, 1.008618
1.540921, 0.919866
1.547211, 0.831227
1.553500, 0.742710
1.559790, 0.654326
1.566079, 0.566083
1.572369, 0.477992
1.578658, 0.390061
1.584948, 0.302300
1.591237, 0.214719
1.597527, 0.127326
1.603816, 0.040131
1.610106, -0.046856
1.616395, -0.133626
1.622684, -0.220170
1.628974, -0.306479
1.635263, -0.392544
1.641553, -0.478354
1.647842, -0.563903
1.654132, -0.649179
1.660421, -0.734175
1.666711, -0.818881
1.673000, -0.903288
1.679290, -0.987387
1.685579, -1.071171
1.691869, -1.154628
1.698158, -1.237752
1.704448, -1.320533
1.710737, -1.402963
1.717027, -1.485032
1.723316, -1.566733
1.729606, -1.648057
1.735895, -1.728996
1.742185, -1.809540
1.748474, -1.889683
1.754763, -1.969414
1.761053, -2.048728
1.767342, -2.127614
1.773632, -2.206065
1.779921, -2.284074
1.786211, -2.361631
1.792500, -2.438730
1.798790, -2.515362
1.805079, -2.591519
1.811369, -2.667195
1.817658, -2.742380
1.823948, -2.817069
1.830237, -2.891252
1.836527, -2.964924
1.842816, -3.038076
1.849106, -3.110701
1.855395, -3.182793
1.861685, -3.254343
1.867974, -3.325345
1.874263, -3.395793
1.880553, -3.465678
1.886842, -3.534995
1.893132, -3.603736
1.899421, -3.671896
1.905711, -3.739466
1.912000, -3.806442
1.918290, -3.872817
1.924579, -3.938584
1.930869, -4.003737
1.937158, -4.068270
1.943448, -4.132177
1.949737, -4.195452
1.956027, -4.258089
1.962316, -4.320083
1.968606, -4.381427
1.974895, -4.442117
1.981185, -4.502147
1.987474, -4.561511
1.993764, -4.620204
2.000053, -4.678221
2.006342, -4.735556
2.012632, -4.792206
2.018921, -4.848164
2.025211, -4.903426
2.031500, -4.957988
2.037790, -5.011844
2.044079, -5.064991
2.050369, -5.117423
2.056658, -5.169137
2.062948, -5.220128
2.069237, -5.270392
2.075527, -5.319925
2.081816, -5.368724
2.088106, -5.416784
2.094395, -5.464102
2.100685, -5.510673
2.106974, -5.556496
2.113264, -5.601565
2.119553, -5.645879
2.125842, -5.689433
2.132132, -5.732225
2.138421, -5.774251
2.144711, -5.815510
2.151000, -5.855997
2.157290, -5.895711
2.163579, -5.934648
2.169869, -5.972808
2.176158, -6.010186
2.182448, -6.046781
2.188737, -6.082590
2.195027, -6.117613
2.201316, -6.151846
2.207606, -6.185289
2.213895, -6.217939
2.220185, -6.249794
2.226474, -6.280854
2.232764, -6.311117
2.239053, -6.340581
2.245342, -6.369247
2.251632, -6.397111
2.257921, -6.424175
2.264211, -6.450436
2.270500, -6.475894
2.276790, -6.500549
2.283079, -6.524400
2.289369, -6.547446
2.295658, -6.569688
2.301948, -6.591125
2.308237, -6.611758
2.314527, -6.631585
2.320816, -6.650609
2.327106, -6.668827
2.333395, -6.686242
2.339685, -6.702854
2.345974, -6.718662
2.352264, -6.733669
2.358553, -6.747874
2.364843, -6.761279
2.371132, -6.773884
2.377421, -6.785691
2.383711, -6.796701
2.390000, -6.806916
2.396290, -6.816337
2.402579, -6.824964
2.408869, -6.832801
2.415158, -6.839849
2.421448, -6.846109
2.427737, -6.851584
2.434027, -6.856276
2.440316, -6.860186
2.446606, -6.863318
2.452895, -6.865674
2.459185, -6.867255
2.465474, -6.868065
2.471764, -6.868106
2.478053, -6.867382
2.484343, -6.865894
2.490632, -6.863647
2.496921, -6.860642
2.503211, -6.856884
2.509500, -6.852375
2.515790, -6.847119
2.522079, -6.841120
2.528369, -6.834380
2.534658, -6.826904
2.540948, -6.818695
2.547237, -6.809758
2.553527, -6.800095
2.559816, -6.789712
2.566106, -6.778611
2.572395, -6.766799
2.578685, -6.754277
2.584974, -6.741052
2.591264, -6.727128
2.597553, -6.712509
2.603843, -6.697199
2.610132, -6.681204
2.616422, -6.664529
2.622711, -6.647177
2.629000, -6.629155
2.635290, -6.610467
2.641579, -6.591118
2.647869, -6.571114
2.654158, -6.550460
2.660448, -6.529162
2.666737, -6.507224
2.673027, -6.484652
2.679316, -6.461452
2.685606, -6.437630
2.691895, -6.413191
2.698185, -6.388141
2.704474, -6.362486
2.710764, -6.336232
2.717053, -6.309385
2.723343, -6.281952
2.729632, -6.253938
2.735922, -6.225349
2.742211, -6.196192
2.748500, -6.166473
2.754790, -6.136200
2.761079, -6.105377
2.767369, -6.074012
2.773658, -6.042111
2.779948, -6.009681
2.786237, -5.976729
2.792527, -5.943262
2.798816, -5.909286
2.805106, -5.874808
2.811395, -5.839835
2.817685, -5.804374
2.823974, -5.768433
2.830264, -5.732018
2.836553, -5.695137
2.842843, -5.657796
2.849132, -5.620003
2.855422, -5.581766
2.861711, -5.543090
2.868001, -5.503985
2.874290, -5.464457
2.880579, -5.424514
2.886869, -5.384163
2.893158, -5.343412
2.899448, -5.302269
2.905737, -5.260740
2.912027, -5.218833
2.918316, -5.176558
2.924606, -5.133919
2.930895, -5.090927
2.937185, -5.047588
2.943474, -5.003910
2.949764, -4.959901
2.956053, -4.915569
2.962343, -4.870922
2.968632, -4.825967
2.974922, -4.780713
